,Index,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BBh,SO,SLG,OPS,PTS,Type,Link,IP,K,W,SV,ERA,WHIP,ER,BB,G,GS,L,CG,K9,ID,PlayerInfo,Name,Last,Team,Positions,Status,Projections,Rank,Player,RTS,NFBC,ADP,Positions_adp,PlayerInfo_adp,PhotoURL,Player_notes,Notes,PlayerInfo_notes,Name_notes,Last_notes,Team_notes,Positions_notes,Status_notes,Description,vsADP,PtsRank
116,Trevor Megill_MIL,,,8,,,,,55,,,,,,,242,P,https://www.fantasypros.com/mlb/players/trevor-megill.php,66.4,81.0,3.0,15.0,3.5,1.18,26.0,24.0,64.0,0.0,3.0,0.0,10.98,trevor-megill,Trevor Megill (MIL - RP),Trevor Megill,Megill,MIL,RP,,3-3-15SV|3.50|1.18|10.98K9,117,Trevor Megill (MIL - RP),121,113,117.0,RP,Trevor Megill (MIL - RP),https://images.fantasypros.com/images/players/mlb/10118/headshot/70x70.png,Trevor Megill (RP - MIL),,Trevor Megill (MIL - RP),Trevor Megill,Megill,MIL,RP,,"3-3-15SV|3.50|1.18|10.98K9
",0.0,242.0
117,Willy Adames_SF,574.0,82.0,26,79.0,11.0,0.232,0.316,133,26.0,2.0,70.0,166.0,0.424,0.74,319,H,https://www.fantasypros.com/mlb/players/willy-adames.php,,,,,,,,,,,,,,willy-adames,Willy Adames (SF - SS),Willy Adames,Adames,SF,SS,,.232|82R|26HR|79RBI|11SB,118,Willy Adames (SF - SS),116,118,117.0,SS,Willy Adames (SF - SS),https://images.fantasypros.com/images/players/mlb/5988/headshot/70x70.png,Willy Adames (SS - SF),,Willy Adames (SF - SS),Willy Adames,Adames,SF,SS,,".232|82R|26HR|79RBI|11SB
",-1.0,100.0
118,Yainer Diaz_HOU,478.0,58.0,18,66.0,1.0,0.269,0.302,129,24.0,1.0,23.0,87.0,0.441,0.744,270,H,https://www.fantasypros.com/mlb/players/yainer-diaz-c.php,,,,,,,,,,,,,,yainer-diaz-c,"Yainer Diaz (HOU - C,DH)",Yainer Diaz,Diaz,HOU,"C,DH",,.269|58R|18HR|66RBI|1SB,119,"Yainer Diaz (HOU - C,DH)",129,107,118.0,"C,DH","Yainer Diaz (HOU - C,DH)",https://images.fantasypros.com/images/players/mlb/45200/headshot/70x70.png,"Yainer Diaz (C,DH - HOU)",,"Yainer Diaz (HOU - C,DH)",Yainer Diaz,Diaz,HOU,"C,DH",,".269|58R|18HR|66RBI|1SB
",-1.0,194.0
119,Brandon Woodruff_MIL,,,22,,,,,132,,,,,,,322,P,https://www.fantasypros.com/mlb/players/brandon-woodruff.php,153.9,161.0,10.0,0.0,3.81,1.14,65.0,43.0,27.0,27.0,8.0,0.0,9.42,brandon-woodruff,Brandon Woodruff (MIL - SP),Brandon Woodruff,Woodruff,MIL,SP,,10-8-0SV|3.81|1.14|9.42K9,120,Brandon Woodruff (MIL - SP),124,115,120.0,SP,Brandon Woodruff (MIL - SP),https://images.fantasypros.com/images/players/mlb/6813/headshot/70x70.png,Brandon Woodruff (SP - MIL),,Brandon Woodruff (MIL - SP),Brandon Woodruff,Woodruff,MIL,SP,,"10-8-0SV|3.81|1.14|9.42K9
",0.0,96.0
120,Teoscar Hernandez_LAD,523.0,73.0,26,82.0,6.0,0.257,0.306,134,26.0,1.0,37.0,150.0,0.465,0.771,288,H,https://www.fantasypros.com/mlb/players/teoscar-hernandez.php,,,,,,,,,,,,,,teoscar-hernandez,Teoscar Hernandez (LAD - OF),Teoscar Hernandez,Hernandez,LAD,OF,,.257|73R|26HR|82RBI|6SB,121,Teoscar Hernandez (LAD - OF),123,121,122.0,OF,Teoscar Hernandez (LAD - OF),https://images.fantasypros.com/images/players/mlb/4846/headshot/70x70.png,"Teoscar Hernandez (LF,RF - LAD)",,Teoscar Hernandez (LAD - OF),Teoscar Hernandez,Hernandez,LAD,OF,,".257|73R|26HR|82RBI|6SB
",1.0,154.0
121,Chase Burns_CIN,,,17,,,,,113,,,,,,,283,P,https://www.fantasypros.com/mlb/players/chase-burns.php,129.8,154.0,8.0,0.0,3.75,1.2,54.0,43.0,29.0,24.0,7.0,0.0,10.68,chase-burns,"Chase Burns (CIN - RP,SP)",Chase Burns,Burns,CIN,"RP,SP",,8-7-0SV|3.75|1.20|10.68K9,122,"Chase Burns (CIN - RP,SP)",128,119,124.0,"RP,SP","Chase Burns (CIN - RP,SP)",https://images.fantasypros.com/images/players/mlb/44722/headshot/70x70.png,"Chase Burns (SP,RP - CIN)",,"Chase Burns (CIN - RP,SP)",Chase Burns,Burns,CIN,"RP,SP",,"8-7-0SV|3.75|1.20|10.68K9
",2.0,166.0
122,Jordan Westburg_BAL,534.0,78.0,24,74.0,6.0,0.26,0.309,139,27.0,3.0,38.0,131.0,0.456,0.765,309,H,https://www.fantasypros.com/mlb/players/jordan-westburg.php,,,,,,,,,,,,,,jordan-westburg,"Jordan Westburg (BAL - 2B,3B,DH)",Jordan Westburg,Westburg,BAL,"2B,3B,DH",,.260|78R|24HR|74RBI|6SB,123,"Jordan Westburg (BAL - 2B,3B,DH)",126,125,126.0,"2B,3B","Jordan Westburg (BAL - 2B,3B)",https://images.fantasypros.com/images/players/mlb/43831/headshot/70x70.png,"Jordan Westburg (2B,3B,DH - BAL)",,"Jordan Westburg (BAL - 2B,3B,DH)",Jordan Westburg,Westburg,BAL,"2B,3B,DH",,".260|78R|24HR|74RBI|6SB
",3.0,117.0
123,Pablo Lopez_MIN,,,21,,,,,159,,,,,,,328,P,https://www.fantasypros.com/mlb/players/pablo-lopez.php,169.2,167.0,10.0,0.0,3.9,1.2,73.0,44.0,29.0,29.0,9.0,0.0,8.88,pablo-lopez,Pablo Lopez (MIN - SP),Pablo Lopez,Lopez,MIN,SP,,10-9-0SV|3.90|1.20|8.88K9,124,Pablo Lopez (MIN - SP),118,137,128.0,SP,Pablo Lopez (MIN - SP),https://images.fantasypros.com/images/players/mlb/7289/headshot/70x70.png,Pablo Lopez (SP - MIN),,Pablo Lopez (MIN - SP),Pablo Lopez,Lopez,MIN,SP,,"10-9-0SV|3.90|1.20|8.88K9
",4.0,85.0
124,Kyle Stowers_MIA,500.0,68.0,24,75.0,4.0,0.24,0.313,120,24.0,2.0,53.0,160.0,0.439,0.752,262,H,https://www.fantasypros.com/mlb/players/kyle-stowers.php,,,,,,,,,,,,,,kyle-stowers,Kyle Stowers (MIA - OF),Kyle Stowers,Stowers,MIA,OF,,.240|68R|24HR|75RBI|4SB,125,Kyle Stowers (MIA - OF),136,120,128.0,OF,Kyle Stowers (MIA - OF),https://images.fantasypros.com/images/players/mlb/22314/headshot/70x70.png,"Kyle Stowers (LF,RF,CF - MIA)",,Kyle Stowers (MIA - OF),Kyle Stowers,Stowers,MIA,OF,,".240|68R|24HR|75RBI|4SB
",3.0,211.0
125,Brandon Nimmo_TEX,556.0,81.0,21,71.0,9.0,0.251,0.323,139,26.0,2.0,59.0,138.0,0.425,0.747,315,H,https://www.fantasypros.com/mlb/players/brandon-nimmo.php,,,,,,,,,,,,,,brandon-nimmo,Brandon Nimmo (TEX - OF),Brandon Nimmo,Nimmo,TEX,OF,,.251|81R|21HR|71RBI|9SB,126,Brandon Nimmo (TEX - OF),117,142,130.0,OF,Brandon Nimmo (TEX - OF),https://images.fantasypros.com/images/players/mlb/4685/headshot/70x70.png,"Brandon Nimmo (LF,CF - TEX)",,Brandon Nimmo (TEX - OF),Brandon Nimmo,Nimmo,TEX,OF,,".251|81R|21HR|71RBI|9SB
",4.0,108.0
126,Robert Suarez_ATL,,,8,,,,,59,,,,,,,215,P,https://www.fantasypros.com/mlb/players/robert-suarez.php,67.5,72.0,4.0,10.0,3.61,1.18,27.0,21.0,66.0,0.0,3.0,0.0,9.6,robert-suarez,Robert Suarez (ATL - RP),Robert Suarez,Suarez,ATL,RP,,4-3-10SV|3.61|1.18|9.60K9,127,Robert Suarez (ATL - RP),131,131,131.0,RP,Robert Suarez (ATL - RP),https://images.fantasypros.com/images/players/mlb/45030/headshot/70x70.png,Robert Suarez (RP - ATL),,Robert Suarez (ATL - RP),Robert Suarez,Suarez,ATL,RP,,"4-3-10SV|3.61|1.18|9.60K9
",4.0,266.0
127,Jo Adell_LAA,503.0,69.0,30,80.0,9.0,0.237,0.291,119,21.0,2.0,38.0,149.0,0.467,0.758,281,H,https://www.fantasypros.com/mlb/players/jo-adell.php,,,,,,,,,,,,,,jo-adell,Jo Adell (LAA - OF),Jo Adell,Adell,LAA,OF,,.237|69R|30HR|80RBI|9SB,128,Jo Adell (LAA - OF),137,129,133.0,OF,Jo Adell (LAA - OF),https://images.fantasypros.com/images/players/mlb/6899/headshot/70x70.png,"Jo Adell (RF,CF - LAA)",,Jo Adell (LAA - OF),Jo Adell,Adell,LAA,OF,,".237|69R|30HR|80RBI|9SB
",5.0,171.0
128,Cam Schlittler_NYY,,,17,,,,,117,,,,,,,236,P,https://www.fantasypros.com/mlb/players/cam-schlittler.php,129.7,129.0,8.0,0.0,4.05,1.3,58.0,51.0,24.0,24.0,7.0,0.0,8.95,cam-schlittler,Cam Schlittler (NYY - SP),Cam Schlittler,Schlittler,NYY,SP,,8-7-0SV|4.05|1.30|8.95K9,129,Cam Schlittler (NYY - SP),134,132,133.0,SP,Cam Schlittler (NYY - SP),https://images.fantasypros.com/images/players/mlb/missing/headshot/70x70.png,Cam Schlittler (SP - NYY),,Cam Schlittler (NYY - SP),Cam Schlittler,Schlittler,NYY,SP,,"8-7-0SV|4.05|1.30|8.95K9
",4.0,247.0
129,Jackson Holliday_BAL,489.0,74.0,15,56.0,15.0,0.25,0.327,122,24.0,2.0,56.0,121.0,0.4,0.727,275,H,https://www.fantasypros.com/mlb/players/jackson-holliday.php,,,,,,,,,,,,,,jackson-holliday,Jackson Holliday (BAL - 2B),Jackson Holliday,Holliday,BAL,2B,,.250|74R|15HR|56RBI|15SB,130,Jackson Holliday (BAL - 2B),133,135,134.0,"2B,SS","Jackson Holliday (BAL - 2B,SS)",https://images.fantasypros.com/images/players/mlb/46268/headshot/70x70.png,Jackson Holliday (2B - BAL),,Jackson Holliday (BAL - 2B),Jackson Holliday,Holliday,BAL,2B,,".250|74R|15HR|56RBI|15SB
",4.0,183.0
130,Andy Pages_LAD,515.0,72.0,23,74.0,10.0,0.255,0.303,131,28.0,1.0,35.0,123.0,0.446,0.749,299,H,https://www.fantasypros.com/mlb/players/andy-pages.php,,,,,,,,,,,,,,andy-pages,Andy Pages (LAD - OF),Andy Pages,Pages,LAD,OF,,.255|72R|23HR|74RBI|10SB,131,Andy Pages (LAD - OF),150,122,136.0,OF,Andy Pages (LAD - OF),https://images.fantasypros.com/images/players/mlb/43671/headshot/70x70.png,"Andy Pages (CF,RF,LF - LAD)",,Andy Pages (LAD - OF),Andy Pages,Pages,LAD,OF,,".255|72R|23HR|74RBI|10SB
",5.0,136.0
131,Nathan Eovaldi_TEX,,,20,,,,,149,,,,,,,353,P,https://www.fantasypros.com/mlb/players/nathan-eovaldi.php,169.2,163.0,11.0,0.0,3.52,1.14,66.0,43.0,28.0,28.0,8.0,0.0,8.67,nathan-eovaldi,Nathan Eovaldi (TEX - SP),Nathan Eovaldi,Eovaldi,TEX,SP,,11-8-0SV|3.52|1.14|8.67K9,132,Nathan Eovaldi (TEX - SP),110,163,136.0,SP,Nathan Eovaldi (TEX - SP),https://images.fantasypros.com/images/players/mlb/4423/headshot/70x70.png,Nathan Eovaldi (SP - TEX),,Nathan Eovaldi (TEX - SP),Nathan Eovaldi,Eovaldi,TEX,SP,,"11-8-0SV|3.52|1.14|8.67K9
",4.0,63.0
132,Luis Robert Jr._NYM,479.0,64.0,20,61.0,29.0,0.235,0.293,113,21.0,1.0,39.0,148.0,0.409,0.701,242,H,https://www.fantasypros.com/mlb/players/luis-robert.php,,,,,,,,,,,,,,luis-robert,Luis Robert Jr. (NYM - OF),Luis Robert Jr.,Robert Jr.,NYM,OF,,.235|64R|20HR|61RBI|29SB,133,Luis Robert Jr. (NYM - OF),152,123,138.0,OF,Luis Robert Jr. (NYM - OF),https://images.fantasypros.com/images/players/mlb/6935/headshot/70x70.png,Luis Robert Jr. (CF - NYM),,Luis Robert Jr. (NYM - OF),Luis Robert Jr.,Robert Jr.,NYM,OF,,".235|64R|20HR|61RBI|29SB
",5.0,243.0
133,Jeff Hoffman_TOR,,,8,,,,,52,,,,,,,279,P,https://www.fantasypros.com/mlb/players/jeff-hoffman.php,63.8,75.0,3.0,26.0,3.59,1.17,25.0,23.0,64.0,0.0,3.0,0.0,10.58,jeff-hoffman,Jeff Hoffman (TOR - RP),Jeff Hoffman,Hoffman,TOR,RP,,3-3-26SV|3.59|1.17|10.58K9,134,Jeff Hoffman (TOR - RP),159,117,138.0,RP,Jeff Hoffman (TOR - RP),https://images.fantasypros.com/images/players/mlb/6014/headshot/70x70.png,Jeff Hoffman (RP - TOR),,Jeff Hoffman (TOR - RP),Jeff Hoffman,Hoffman,TOR,RP,,"3-3-26SV|3.59|1.17|10.58K9
",4.0,174.0
134,Jakob Marsee_MIA,490.0,70.0,13,51.0,31.0,0.231,0.318,113,23.0,4.0,63.0,127.0,0.366,0.684,272,H,https://www.fantasypros.com/mlb/players/jakob-marsee.php,,,,,,,,,,,,,,jakob-marsee,Jakob Marsee (MIA - OF),Jakob Marsee,Marsee,MIA,OF,,.231|70R|13HR|51RBI|31SB,135,Jakob Marsee (MIA - OF),130,146,138.0,OF,Jakob Marsee (MIA - OF),https://images.fantasypros.com/images/players/mlb/missing/headshot/70x70.png,"Jakob Marsee (CF,LF - MIA)",,Jakob Marsee (MIA - OF),Jakob Marsee,Marsee,MIA,OF,,".231|70R|13HR|51RBI|31SB
",3.0,191.0
135,Michael King_SD,,,22,,,,,148,,,,,,,330,P,https://www.fantasypros.com/mlb/players/michael-king.php,167.7,173.0,11.0,0.0,3.86,1.23,72.0,58.0,30.0,30.0,9.0,0.0,9.28,michael-king,Michael King (SD - SP),Michael King,King,SD,SP,,11-9-0SV|3.86|1.23|9.28K9,136,Michael King (SD - SP),135,141,138.0,SP,Michael King (SD - SP),https://images.fantasypros.com/images/players/mlb/8489/headshot/70x70.png,Michael King (SP - SD),,Michael King (SD - SP),Michael King,King,SD,SP,,"11-9-0SV|3.86|1.23|9.28K9
",2.0,84.0
136,Taylor Ward_BAL,551.0,78.0,26,80.0,5.0,0.242,0.321,133,25.0,2.0,64.0,153.0,0.437,0.758,316,H,https://www.fantasypros.com/mlb/players/taylor-ward.php,,,,,,,,,,,,,,taylor-ward,Taylor Ward (BAL - OF),Taylor Ward,Ward,BAL,OF,,.242|78R|26HR|80RBI|5SB,137,Taylor Ward (BAL - OF),120,157,138.0,OF,Taylor Ward (BAL - OF),https://images.fantasypros.com/images/players/mlb/6071/headshot/70x70.png,Taylor Ward (LF - BAL),,Taylor Ward (BAL - OF),Taylor Ward,Ward,BAL,OF,,".242|78R|26HR|80RBI|5SB
",1.0,107.0
137,Jacob Misiorowski_MIL,,,18,,,,,115,,,,,,,277,P,https://www.fantasypros.com/mlb/players/jacob-misiorowski.php,140.3,160.0,8.0,0.0,3.98,1.3,62.0,67.0,34.0,25.0,7.0,0.0,10.26,jacob-misiorowski,"Jacob Misiorowski (MIL - RP,SP)",Jacob Misiorowski,Misiorowski,MIL,"RP,SP",,8-7-0SV|3.98|1.30|10.26K9,138,"Jacob Misiorowski (MIL - RP,SP)",149,128,138.0,SP,Jacob Misiorowski (MIL - SP),https://images.fantasypros.com/images/players/mlb/46366/headshot/70x70.png,"Jacob Misiorowski (SP,RP - MIL)",,"Jacob Misiorowski (MIL - RP,SP)",Jacob Misiorowski,Misiorowski,MIL,"RP,SP",,"8-7-0SV|3.98|1.30|10.26K9
",0.0,180.0
138,Luke Keaschall_MIN,467.0,68.0,12,55.0,23.0,0.266,0.336,124,26.0,2.0,49.0,92.0,0.403,0.74,295,H,https://www.fantasypros.com/mlb/players/luke-keaschall.php,,,,,,,,,,,,,,luke-keaschall,Luke Keaschall (MIN - 2B),Luke Keaschall,Keaschall,MIN,2B,,.266|68R|12HR|55RBI|23SB,139,Luke Keaschall (MIN - 2B),141,139,140.0,2B,Luke Keaschall (MIN - 2B),https://images.fantasypros.com/images/players/mlb/47176/headshot/70x70.png,Luke Keaschall (2B - MIN),,Luke Keaschall (MIN - 2B),Luke Keaschall,Keaschall,MIN,2B,,".266|68R|12HR|55RBI|23SB
",1.0,146.0
139,Nick Lodolo_CIN,,,21,,,,,141,,,,,,,279,P,https://www.fantasypros.com/mlb/players/nick-lodolo.php,149.4,149.0,9.0,0.0,4.07,1.21,68.0,41.0,27.0,27.0,9.0,0.0,8.98,nick-lodolo,Nick Lodolo (CIN - SP),Nick Lodolo,Lodolo,CIN,SP,,9-9-0SV|4.07|1.21|8.98K9,140,Nick Lodolo (CIN - SP),147,134,140.0,SP,Nick Lodolo (CIN - SP),https://images.fantasypros.com/images/players/mlb/6953/headshot/70x70.png,Nick Lodolo (SP - CIN),,Nick Lodolo (CIN - SP),Nick Lodolo,Lodolo,CIN,SP,,"9-9-0SV|4.07|1.21|8.98K9
",0.0,175.0
140,Pete Fairbanks_MIA,,,7,,,,,55,,,,,,,260,P,https://www.fantasypros.com/mlb/players/pete-fairbanks.php,63.7,65.0,3.0,25.0,3.6,1.22,26.0,22.0,62.0,0.0,3.0,0.0,9.18,pete-fairbanks,Pete Fairbanks (MIA - RP),Pete Fairbanks,Fairbanks,MIA,RP,,3-3-25SV|3.60|1.22|9.18K9,141,Pete Fairbanks (MIA - RP),156,126,141.0,RP,Pete Fairbanks (MIA - RP),https://images.fantasypros.com/images/players/mlb/19909/headshot/70x70.png,Pete Fairbanks (RP - MIA),,Pete Fairbanks (MIA - RP),Pete Fairbanks,Fairbanks,MIA,RP,,"3-3-25SV|3.60|1.22|9.18K9
",0.0,218.0
141,Trey Yesavage_TOR,,,18,,,,,117,,,,,,,283,P,https://www.fantasypros.com/mlb/players/trey-yesavage.php,139.1,156.0,8.0,0.0,3.88,1.26,60.0,57.0,30.0,25.0,7.0,0.0,10.09,trey-yesavage,Trey Yesavage (TOR - SP),Trey Yesavage,Yesavage,TOR,SP,,8-7-0SV|3.88|1.26|10.09K9,142,Trey Yesavage (TOR - SP),127,155,141.0,SP,Trey Yesavage (TOR - SP),https://images.fantasypros.com/images/players/mlb/missing/headshot/70x70.png,Trey Yesavage (SP - TOR),,Trey Yesavage (TOR - SP),Trey Yesavage,Yesavage,TOR,SP,,"8-7-0SV|3.88|1.26|10.09K9
",-1.0,167.0
142,Ivan Herrera_STL,468.0,69.0,17,62.0,8.0,0.268,0.345,126,22.0,1.0,55.0,106.0,0.431,0.776,288,H,https://www.fantasypros.com/mlb/players/ivan-herrera.php,,,,,,,,,,,,,,ivan-herrera,"Ivan Herrera (STL - C,DH)",Ivan Herrera,Herrera,STL,"C,DH",,.268|69R|17HR|62RBI|8SB,143,"Ivan Herrera (STL - C,DH)",106,177,142.0,"C,DH","Ivan Herrera (STL - C,DH)",https://images.fantasypros.com/images/players/mlb/43691/headshot/70x70.png,"Ivan Herrera (C,DH - STL)",,"Ivan Herrera (STL - C,DH)",Ivan Herrera,Herrera,STL,"C,DH",,".268|69R|17HR|62RBI|8SB
",-1.0,155.0
143,Lawrence Butler_ATH,488.0,68.0,21,64.0,18.0,0.242,0.309,118,25.0,2.0,47.0,141.0,0.428,0.737,266,H,https://www.fantasypros.com/mlb/players/lawrence-butler.php,,,,,,,,,,,,,,lawrence-butler,Lawrence Butler (ATH - OF),Lawrence Butler,Butler,ATH,OF,,.242|68R|21HR|64RBI|18SB,144,Lawrence Butler (ATH - OF),140,143,142.0,OF,Lawrence Butler (ATH - OF),https://images.fantasypros.com/images/players/mlb/45753/headshot/70x70.png,"Lawrence Butler (RF,CF - ATH)",,Lawrence Butler (ATH - OF),Lawrence Butler,Butler,ATH,OF,,".242|68R|21HR|64RBI|18SB
",-2.0,200.0
144,Kenley Jansen_DET,,,8,,,,,51,,,,,,,246,P,https://www.fantasypros.com/mlb/players/kenley-jansen.php,60.3,62.0,3.0,24.0,3.94,1.2,26.0,22.0,59.0,0.0,3.0,0.0,9.25,kenley-jansen,Kenley Jansen (DET - RP),Kenley Jansen,Jansen,DET,RP,,3-3-24SV|3.94|1.20|9.25K9,145,Kenley Jansen (DET - RP),160,124,142.0,RP,Kenley Jansen (DET - RP),https://images.fantasypros.com/images/players/mlb/3630/headshot/70x70.png,Kenley Jansen (RP - DET),,Kenley Jansen (DET - RP),Kenley Jansen,Jansen,DET,RP,,"3-3-24SV|3.94|1.20|9.25K9
",-3.0,235.0
145,Emilio Pagan_CIN,,,11,,,,,57,,,,,,,273,P,https://www.fantasypros.com/mlb/players/emilio-pagan.php,66.9,74.0,3.0,26.0,4.01,1.2,30.0,23.0,67.0,0.0,3.0,0.0,9.96,emilio-pagan,Emilio Pagan (CIN - RP),Emilio Pagan,Pagan,CIN,RP,,3-3-26SV|4.01|1.20|9.96K9,146,Emilio Pagan (CIN - RP),148,136,142.0,RP,Emilio Pagan (CIN - RP),https://images.fantasypros.com/images/players/mlb/7143/headshot/70x70.png,Emilio Pagan (RP - CIN),,Emilio Pagan (CIN - RP),Emilio Pagan,Pagan,CIN,RP,,"3-3-26SV|4.01|1.20|9.96K9
",-4.0,188.0
146,Adley Rutschman_BAL,488.0,67.0,17,65.0,1.0,0.251,0.335,122,24.0,1.0,61.0,88.0,0.415,0.749,306,H,https://www.fantasypros.com/mlb/players/adley-rutschman.php,,,,,,,,,,,,,,adley-rutschman,"Adley Rutschman (BAL - C,DH)",Adley Rutschman,Rutschman,BAL,"C,DH",,.251|67R|17HR|65RBI|1SB,147,"Adley Rutschman (BAL - C,DH)",138,153,146.0,C,Adley Rutschman (BAL - C),https://images.fantasypros.com/images/players/mlb/8022/headshot/70x70.png,"Adley Rutschman (C,DH - BAL)",,"Adley Rutschman (BAL - C,DH)",Adley Rutschman,Rutschman,BAL,"C,DH",,".251|67R|17HR|65RBI|1SB
",-1.0,127.0
147,Sandy Alcantara_MIA,,,21,,,,,173,,,,,,,283,P,https://www.fantasypros.com/mlb/players/sandy-alcantara.php,177.0,147.0,10.0,0.0,4.21,1.28,83.0,54.0,30.0,30.0,11.0,0.0,7.47,sandy-alcantara,Sandy Alcantara (MIA - SP),Sandy Alcantara,Alcantara,MIA,SP,,10-11-0SV|4.21|1.28|7.47K9,148,Sandy Alcantara (MIA - SP),143,154,148.0,SP,Sandy Alcantara (MIA - SP),https://images.fantasypros.com/images/players/mlb/7109/headshot/70x70.png,Sandy Alcantara (SP - MIA),,Sandy Alcantara (MIA - SP),Sandy Alcantara,Alcantara,MIA,SP,,"10-11-0SV|4.21|1.28|7.47K9
",0.0,168.0
148,Daniel Palencia_CHC,,,7,,,,,57,,,,,,,290,P,https://www.fantasypros.com/mlb/players/daniel-palencia.php,67.9,77.0,3.0,28.0,3.67,1.25,28.0,28.0,66.0,0.0,3.0,0.0,10.21,daniel-palencia,Daniel Palencia (CHC - RP),Daniel Palencia,Palencia,CHC,RP,,3-3-28SV|3.67|1.25|10.21K9,149,Daniel Palencia (CHC - RP),154,145,150.0,RP,Daniel Palencia (CHC - RP),https://images.fantasypros.com/images/players/mlb/44792/headshot/70x70.png,Daniel Palencia (RP - CHC),,Daniel Palencia (CHC - RP),Daniel Palencia,Palencia,CHC,RP,,"3-3-28SV|3.67|1.25|10.21K9
",1.0,152.0
149,Gavin Williams_CLE,,,21,,,,,147,,,,,,,302,P,https://www.fantasypros.com/mlb/players/gavin-williams.php,167.3,169.0,10.0,0.0,4.03,1.31,75.0,72.0,30.0,30.0,10.0,0.0,9.09,gavin-williams,Gavin Williams (CLE - SP),Gavin Williams,Williams,CLE,SP,,10-10-0SV|4.03|1.31|9.09K9,150,Gavin Williams (CLE - SP),151,150,150.0,SP,Gavin Williams (CLE - SP),https://images.fantasypros.com/images/players/mlb/44694/headshot/70x70.png,Gavin Williams (SP - CLE),,Gavin Williams (CLE - SP),Gavin Williams,Williams,CLE,SP,,"10-10-0SV|4.03|1.31|9.09K9
",0.0,133.0
150,Noelvi Marte_CIN,501.0,67.0,18,63.0,16.0,0.252,0.3,126,25.0,2.0,34.0,124.0,0.418,0.718,265,H,https://www.fantasypros.com/mlb/players/noelvi-marte.php,,,,,,,,,,,,,,noelvi-marte,"Noelvi Marte (CIN - 3B,OF)",Noelvi Marte,Marte,CIN,"3B,OF",,.252|67R|18HR|63RBI|16SB,151,"Noelvi Marte (CIN - 3B,OF)",172,130,151.0,"3B,OF","Noelvi Marte (CIN - 3B,OF)",https://images.fantasypros.com/images/players/mlb/8284/headshot/70x70.png,"Noelvi Marte (3B,RF - CIN)",,"Noelvi Marte (CIN - 3B,OF)",Noelvi Marte,Marte,CIN,"3B,OF",,".252|67R|18HR|63RBI|16SB
",0.0,204.0
151,Emmet Sheehan_LAD,,,19,,,,,110,,,,,,,289,P,https://www.fantasypros.com/mlb/players/emmet-sheehan.php,132.5,152.0,8.0,0.0,3.81,1.17,56.0,45.0,35.0,22.0,6.0,0.0,10.32,emmet-sheehan,Emmet Sheehan (LAD - SP),Emmet Sheehan,Sheehan,LAD,SP,,8-6-0SV|3.81|1.17|10.32K9,152,Emmet Sheehan (LAD - SP),164,140,152.0,SP,Emmet Sheehan (LAD - SP),https://images.fantasypros.com/images/players/mlb/45411/headshot/70x70.png,Emmet Sheehan (SP - LAD),,Emmet Sheehan (LAD - SP),Emmet Sheehan,Sheehan,LAD,SP,,"8-6-0SV|3.81|1.17|10.32K9
",0.0,153.0
152,Luis Castillo_SEA,,,25,,,,,163,,,,,,,332,P,https://www.fantasypros.com/mlb/players/luis-castillo.php,178.1,166.0,11.0,0.0,3.94,1.2,78.0,51.0,30.0,30.0,10.0,0.0,8.39,luis-castillo,Luis Castillo (SEA - SP),Luis Castillo,Castillo,SEA,SP,,11-10-0SV|3.94|1.20|8.39K9,153,Luis Castillo (SEA - SP),145,162,154.0,SP,Luis Castillo (SEA - SP),https://images.fantasypros.com/images/players/mlb/3679/headshot/70x70.png,Luis Castillo (SP - SEA),,Luis Castillo (SEA - SP),Luis Castillo,Castillo,SEA,SP,,"11-10-0SV|3.94|1.20|8.39K9
",1.0,83.0
153,Ceddanne Rafaela_BOS,517.0,67.0,17,63.0,21.0,0.254,0.289,131,28.0,3.0,26.0,119.0,0.415,0.703,275,H,https://www.fantasypros.com/mlb/players/ceddanne-rafaela.php,,,,,,,,,,,,,,ceddanne-rafaela,"Ceddanne Rafaela (BOS - 2B,OF,SS)",Ceddanne Rafaela,Rafaela,BOS,"2B,OF,SS",,.254|67R|17HR|63RBI|21SB,154,"Ceddanne Rafaela (BOS - 2B,OF,SS)",170,138,154.0,"2B,OF","Ceddanne Rafaela (BOS - 2B,OF)",https://images.fantasypros.com/images/players/mlb/45510/headshot/70x70.png,"Ceddanne Rafaela (SS,CF,2B - BOS)",,"Ceddanne Rafaela (BOS - 2B,OF,SS)",Ceddanne Rafaela,Rafaela,BOS,"2B,OF,SS",,".254|67R|17HR|63RBI|21SB
",0.0,184.0
154,Shane Bieber_TOR,,,18,,,,,133,,,,,,,256,P,https://www.fantasypros.com/mlb/players/shane-bieber.php,138.2,125.0,9.0,0.0,3.9,1.21,60.0,35.0,24.0,24.0,7.0,0.0,8.14,shane-bieber,Shane Bieber (TOR - SP),Shane Bieber,Bieber,TOR,SP,,9-7-0SV|3.90|1.21|8.14K9,155,Shane Bieber (TOR - SP),157,151,154.0,SP,Shane Bieber (TOR - SP),https://images.fantasypros.com/images/players/mlb/7178/headshot/70x70.png,Shane Bieber (SP - TOR),,Shane Bieber (TOR - SP),Shane Bieber,Bieber,TOR,SP,,"9-7-0SV|3.90|1.21|8.14K9
",-1.0,225.0
